table_schema,table_name,table_type,classificacao,row_count
main_dbt_test__audit,relationships_stg_internacoes_CID_NOTIF__CID__source_main_cid_,BASE TABLE,dbt audit,0
main_dbt_test__audit,relationships_stg_internacoes_DIAGSEC1__CID__source_main_cid_,BASE TABLE,dbt audit,0
main_dbt_test__audit,relationships_stg_internacoes_DIAGSEC2__CID__source_main_cid_,BASE TABLE,dbt audit,0
main_dbt_test__audit,relationships_stg_internacoes_DIAGSEC3__CID__source_main_cid_,BASE TABLE,dbt audit,0
main_dbt_test__audit,relationships_stg_internacoes_DIAGSEC4__CID__source_main_cid_,BASE TABLE,dbt audit,0
main_dbt_test__audit,relationships_stg_internacoes_DIAGSEC5__CID__source_main_cid_,BASE TABLE,dbt audit,0
main_dbt_test__audit,relationships_stg_internacoes_DIAGSEC6__CID__source_main_cid_,BASE TABLE,dbt audit,0
main_dbt_test__audit,relationships_stg_internacoes_DIAGSEC7__CID__source_main_cid_,BASE TABLE,dbt audit,0
main_dbt_test__audit,relationships_stg_internacoes_DIAGSEC8__CID__source_main_cid_,BASE TABLE,dbt audit,0
main_dbt_test__audit,relationships_stg_internacoes_DIAGSEC9__CID__source_main_cid_,BASE TABLE,dbt audit,0
main_dbt_test__audit,relationships_stg_internacoes_DIAG_SECUN__CID__source_main_cid_,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_accepted_values_main_cid_TP_NIVEL__CAT__SUBCAT,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_accepted_values_main_co_471c48ba2d676862c685ad110899f3c1,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_accepted_values_main_co_fbdc93df62d4eb8921deb81c2d6e5b06,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_accepted_values_main_es_2a731c4d3897a6ae0db3b82980ccf379,BASE TABLE,dbt audit,33
main_dbt_test__audit,source_accepted_values_main_in_11ad171b3535dd2529c0b671c4ad8f11,BASE TABLE,dbt audit,3
main_dbt_test__audit,source_accepted_values_main_in_2d6a096fa84aa31a444ae08b50fe4c63,BASE TABLE,dbt audit,1
main_dbt_test__audit,source_accepted_values_main_in_5b793e5d1d4e992d6117bd4a8e7664d8,BASE TABLE,dbt audit,1
main_dbt_test__audit,source_accepted_values_main_in_ae8b94f76e4dddc1da5f96fdd84ed66e,BASE TABLE,dbt audit,1
main_dbt_test__audit,source_accepted_values_main_in_b5ffd551c812c717078223b9416c4bfa,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_accepted_values_main_instrucao_INSTRU__0__1__2__3__4__9,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_accepted_values_main_internacoes_GESTRISCO__0__1,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_accepted_values_main_internacoes_IND_VDRL__0__1,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_accepted_values_main_internacoes_MORTE__0__1,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_accepted_values_main_internacoes_SEXO__1__2__3,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_accepted_values_main_ma_db39f4c3a7cbbe665734e2399082bae1,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_accepted_values_main_mu_15630bdc87815a1cf3f85982670d4cf3,BASE TABLE,dbt audit,11
main_dbt_test__audit,source_accepted_values_main_ra_3d04e48020300849b5b76e5242503dbc,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_accepted_values_main_sexo_SEXO__0__1__3,BASE TABLE,dbt audit,1
main_dbt_test__audit,source_accepted_values_main_te_448012159218cefc26a5e0c42e98bf7b,BASE TABLE,dbt audit,1
main_dbt_test__audit,source_accepted_values_main_tempo_trimestre__1__2__3__4,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_accepted_values_main_vi_6f0b5d23ef30eb47c15e59b2cbaa6854,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_car_int_CAR_INT,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_car_int_DESCRICAO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_cbor_CBOR,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_cbor_DESCRICAO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_cid_CID,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_cid_DESCRICAO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_cid_TP_NIVEL,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_complexidade_COMPLEX,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_complexidade_DESCRICAO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_contraceptivos_CONTRACEPTIVO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_contraceptivos_DESCRICAO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_especialidade_DESCRICAO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_especialidade_ESPEC,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_etnia_DESCRICAO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_etnia_ETNIA,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_hospital_CNES,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_hospital_MUNIC_MOV,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_instrucao_DESCRICAO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_instrucao_INSTRU,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacao_procedimento_N_AIH,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacao_procedimento_PROC_REA,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacao_procedimento_id_atendimento,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_CAR_INT,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_CNES,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_COMPLEX,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_CONTRACEP1,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_CONTRACEP2,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_DIAG_PRINC,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_DIAR_ACOM,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_DIAS_PERM,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_DT_INTER,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_DT_SAIDA,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_ESPEC,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_GESTRISCO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_IDADE,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_IND_VDRL,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_INSTRU,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_MARCA_UTI,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_MORTE,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_MUNIC_RES,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_NACIONAL,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_NUM_FILHOS,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_N_AIH,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_RACA_COR,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_SEXO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_UTI_INT_TO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_VAL_SH,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_VAL_SP,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_VAL_TOT,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_VAL_UTI,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_internacoes_VINCPREV,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_marca_uti_DESCRICAO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_marca_uti_MARCA_UTI,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_municipios_CO_MUNICIPIO_6D,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_municipios_CO_MUNICIPIO_7D,BASE TABLE,dbt audit,18
main_dbt_test__audit,source_not_null_main_municipios_NO_MUNICIPIO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_municipios_SG_UF,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_nacionalidade_DESCRICAO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_nacionalidade_NACIONAL,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_procedimentos_NOME_PROC,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_procedimentos_PROC_REA,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_raca_cor_DESCRICAO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_raca_cor_RACA_COR,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_sexo_DESCRICAO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_sexo_SEXO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_socioeconomico_CO_MUNICIPIO_6D,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_socioeconomico_NU_ANO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_socioeconomico_QT_LEITOS_SUS,BASE TABLE,dbt audit,26535
main_dbt_test__audit,source_not_null_main_socioeconomico_QT_MEDICOS,BASE TABLE,dbt audit,685
main_dbt_test__audit,source_not_null_main_socioeconomico_QT_NASCIDOS_VIVOS,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_socioeconomico_QT_OBITOS_INFANTIS,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_socioeconomico_QT_POPULACAO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_tempo_ano,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_tempo_data,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_tempo_dia_semana,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_tempo_mes,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_tempo_trimestre,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_vincprev_DESCRICAO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_not_null_main_vincprev_VINCPREV,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_relationships_main_hosp_af9492e85d8ab80c0f30fec05b85012e,BASE TABLE,dbt audit,22
main_dbt_test__audit,source_relationships_main_inte_003bf65cd26dacabf3c106a55fe73dce,BASE TABLE,dbt audit,2818
main_dbt_test__audit,source_relationships_main_inte_01d6d98ba1ce6a1b15cd0aaa3ad2d03d,BASE TABLE,dbt audit,114750667
main_dbt_test__audit,source_relationships_main_inte_101823f556112fa23ddf3389526b63d1,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_relationships_main_inte_1d2f51b325a9ba82df75212c72cdb950,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_relationships_main_inte_1eca6ef348e13b408da8989c4cc97b5b,BASE TABLE,dbt audit,183858355
main_dbt_test__audit,source_relationships_main_inte_214665dc766c240f1798063cd2613723,BASE TABLE,dbt audit,116180756
main_dbt_test__audit,source_relationships_main_inte_29256be1b4f85d65fc1280af0bb276b0,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_relationships_main_inte_2a1ac166274c275684c54257999133ce,BASE TABLE,dbt audit,116710629
main_dbt_test__audit,source_relationships_main_inte_3bf772a30f6ca9f86a5816c15d47d4c9,BASE TABLE,dbt audit,183502179
main_dbt_test__audit,source_relationships_main_inte_4c19f1327477bcdde9cbf1b6f113a9dd,BASE TABLE,dbt audit,117076265
main_dbt_test__audit,source_relationships_main_inte_4feb2349c9aae6bc7827e77150823f16,BASE TABLE,dbt audit,117076265
main_dbt_test__audit,source_relationships_main_inte_5ccb13b21da8915cf8a1a1707522d12c,BASE TABLE,dbt audit,12
main_dbt_test__audit,source_relationships_main_inte_7ac46c47dabb88d9c4185eeacdfc2769,BASE TABLE,dbt audit,173333293
main_dbt_test__audit,source_relationships_main_inte_84fb54c151ea7aeb7967873423e83d08,BASE TABLE,dbt audit,181005234
main_dbt_test__audit,source_relationships_main_inte_88bdc55ba5cf0dff52192c85210c70c1,BASE TABLE,dbt audit,34
main_dbt_test__audit,source_relationships_main_inte_9a5ac789578c03d3878cf370cae2290c,BASE TABLE,dbt audit,117058530
main_dbt_test__audit,source_relationships_main_inte_a6ae8967bfcfd29d3c16da8e28a229c3,BASE TABLE,dbt audit,95448360
main_dbt_test__audit,source_relationships_main_inte_aa57f2b929f7a5546015d28a82cbce59,BASE TABLE,dbt audit,182133421
main_dbt_test__audit,source_relationships_main_inte_baa10a92a581828d095d0efdd752a8d8,BASE TABLE,dbt audit,182119718
main_dbt_test__audit,source_relationships_main_inte_c4bd8260baa159b682c36cd225ce7c98,BASE TABLE,dbt audit,627
main_dbt_test__audit,source_relationships_main_inte_c5ab0d270fe1518fa52bbf1bc63f5cd2,BASE TABLE,dbt audit,182732638
main_dbt_test__audit,source_relationships_main_inte_ce103a8b59e28f4117f4f327c231800f,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_relationships_main_inte_ce48749eca09d747ff0cde52163216d2,BASE TABLE,dbt audit,116936986
main_dbt_test__audit,source_relationships_main_inte_cf75d8c49752e7842e6dfa0cc07d59ec,BASE TABLE,dbt audit,48760813
main_dbt_test__audit,source_relationships_main_inte_d10d17c954eae75d0d71544e28f16249,BASE TABLE,dbt audit,117027259
main_dbt_test__audit,source_relationships_main_inte_d36364804cdb6ec95ec38a629cc8c2c6,BASE TABLE,dbt audit,1270397
main_dbt_test__audit,source_relationships_main_inte_d761c09c93c45b856a3f45046ff7eb34,BASE TABLE,dbt audit,182119635
main_dbt_test__audit,source_relationships_main_inte_e24ecb984c6e2d587e01eadd9ab63b91,BASE TABLE,dbt audit,183858355
main_dbt_test__audit,source_relationships_main_inte_ea730314920b831b4f6cac966a8cfb41,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_relationships_main_inte_f24139773aa85d1a6a68992569ed12b6,BASE TABLE,dbt audit,1044
main_dbt_test__audit,source_relationships_main_soci_79f2271162d3a7343632023bbd034bec,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_car_int_CAR_INT,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_cbor_CBOR,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_cid_CID,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_complexidade_COMPLEX,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_contraceptivos_CONTRACEPTIVO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_especialidade_ESPEC,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_etnia_ETNIA,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_hospital_CNES,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_instrucao_INSTRU,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_internacao_procedimento_id_atendimento,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_internacoes_N_AIH,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_marca_uti_MARCA_UTI,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_municipios_CO_MUNICIPIO_6D,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_municipios_CO_MUNICIPIO_7D,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_nacionalidade_NACIONAL,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_procedimentos_PROC_REA,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_raca_cor_RACA_COR,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_sexo_SEXO,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_tempo_data,BASE TABLE,dbt audit,0
main_dbt_test__audit,source_unique_main_vincprev_VINCPREV,BASE TABLE,dbt audit,0
