table_name,column_name,business_meaning,rank,value,row_count,sql,duration_seconds
internacoes,MARCA_UTI,marcador de UTI,1,0,171623174,"SELECT ""MARCA_UTI"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.288
internacoes,MARCA_UTI,marcador de UTI,2,75,7273804,"SELECT ""MARCA_UTI"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.289
internacoes,MARCA_UTI,marcador de UTI,3,76,1503527,"SELECT ""MARCA_UTI"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.289
internacoes,MARCA_UTI,marcador de UTI,4,81,1231179,"SELECT ""MARCA_UTI"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.289
internacoes,MARCA_UTI,marcador de UTI,5,78,657578,"SELECT ""MARCA_UTI"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.289
internacoes,MARCA_UTI,marcador de UTI,6,51,477515,"SELECT ""MARCA_UTI"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.289
internacoes,MARCA_UTI,marcador de UTI,7,74,311251,"SELECT ""MARCA_UTI"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.289
internacoes,MARCA_UTI,marcador de UTI,8,79,252301,"SELECT ""MARCA_UTI"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.289
internacoes,MARCA_UTI,marcador de UTI,9,82,214056,"SELECT ""MARCA_UTI"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.289
internacoes,MARCA_UTI,marcador de UTI,10,85,149119,"SELECT ""MARCA_UTI"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.289
internacoes,SEXO,sexo,1,3,107928385,"SELECT ""SEXO"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.199
internacoes,SEXO,sexo,2,1,75948834,"SELECT ""SEXO"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.199
internacoes,RACA_COR,raca/cor,1,3,65749749,"SELECT ""RACA_COR"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.176
internacoes,RACA_COR,raca/cor,2,1,60081825,"SELECT ""RACA_COR"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.176
internacoes,RACA_COR,raca/cor,3,99,48760813,"SELECT ""RACA_COR"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.176
internacoes,RACA_COR,raca/cor,4,2,6541484,"SELECT ""RACA_COR"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.177
internacoes,RACA_COR,raca/cor,5,4,2252044,"SELECT ""RACA_COR"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.177
internacoes,RACA_COR,raca/cor,6,5,491304,"SELECT ""RACA_COR"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.177
internacoes,DIAG_PRINC,diagnostico principal,1,O800,12391391,"SELECT ""DIAG_PRINC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.4
internacoes,DIAG_PRINC,diagnostico principal,2,J189,4090969,"SELECT ""DIAG_PRINC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.4
internacoes,DIAG_PRINC,diagnostico principal,3,O809,3224114,"SELECT ""DIAG_PRINC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.4
internacoes,DIAG_PRINC,diagnostico principal,4,N390,2412074,"SELECT ""DIAG_PRINC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.4
internacoes,DIAG_PRINC,diagnostico principal,5,A09,2322889,"SELECT ""DIAG_PRINC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.4
internacoes,DIAG_PRINC,diagnostico principal,6,I64,2307576,"SELECT ""DIAG_PRINC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.4
internacoes,DIAG_PRINC,diagnostico principal,7,I500,1917483,"SELECT ""DIAG_PRINC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.4
internacoes,DIAG_PRINC,diagnostico principal,8,B342,1860545,"SELECT ""DIAG_PRINC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.4
internacoes,DIAG_PRINC,diagnostico principal,9,O821,1637991,"SELECT ""DIAG_PRINC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.4
internacoes,DIAG_PRINC,diagnostico principal,10,O829,1630248,"SELECT ""DIAG_PRINC"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.4
internacoes,CNES,hospital,1,2078015,761959,"SELECT ""CNES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.409
internacoes,CNES,hospital,2,434,719254,"SELECT ""CNES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.409
internacoes,CNES,hospital,3,27014,623140,"SELECT ""CNES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.409
internacoes,CNES,hospital,4,2082187,592426,"SELECT ""CNES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.409
internacoes,CNES,hospital,5,2237571,587240,"SELECT ""CNES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.409
internacoes,CNES,hospital,6,2077396,582168,"SELECT ""CNES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.409
internacoes,CNES,hospital,7,13846,569114,"SELECT ""CNES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.409
internacoes,CNES,hospital,8,655,522136,"SELECT ""CNES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.409
internacoes,CNES,hospital,9,2237601,521837,"SELECT ""CNES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.409
internacoes,CNES,hospital,10,2688689,467320,"SELECT ""CNES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.409
internacoes,MUNIC_RES,municipio de residencia,1,355030,9179591,"SELECT ""MUNIC_RES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.328
internacoes,MUNIC_RES,municipio de residencia,2,330455,3412931,"SELECT ""MUNIC_RES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.328
internacoes,MUNIC_RES,municipio de residencia,3,292740,2249720,"SELECT ""MUNIC_RES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.328
internacoes,MUNIC_RES,municipio de residencia,4,230440,2237047,"SELECT ""MUNIC_RES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.328
internacoes,MUNIC_RES,municipio de residencia,5,310620,2148438,"SELECT ""MUNIC_RES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.328
internacoes,MUNIC_RES,municipio de residencia,6,410690,1773231,"SELECT ""MUNIC_RES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.328
internacoes,MUNIC_RES,municipio de residencia,7,130260,1691106,"SELECT ""MUNIC_RES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.328
internacoes,MUNIC_RES,municipio de residencia,8,261160,1636126,"SELECT ""MUNIC_RES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.328
internacoes,MUNIC_RES,municipio de residencia,9,431490,1581334,"SELECT ""MUNIC_RES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.328
internacoes,MUNIC_RES,municipio de residencia,10,520870,1285536,"SELECT ""MUNIC_RES"" AS value, COUNT(*) AS row_count FROM ""internacoes"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.328
internacao_procedimento,PROC_REA,procedimento realizado,1,310010039,16435256,"SELECT ""PROC_REA"" AS value, COUNT(*) AS row_count FROM ""internacao_procedimento"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.358
internacao_procedimento,PROC_REA,procedimento realizado,2,303140151,10576911,"SELECT ""PROC_REA"" AS value, COUNT(*) AS row_count FROM ""internacao_procedimento"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.358
internacao_procedimento,PROC_REA,procedimento realizado,3,411010034,10309968,"SELECT ""PROC_REA"" AS value, COUNT(*) AS row_count FROM ""internacao_procedimento"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.358
internacao_procedimento,PROC_REA,procedimento realizado,4,303010061,4507648,"SELECT ""PROC_REA"" AS value, COUNT(*) AS row_count FROM ""internacao_procedimento"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.358
internacao_procedimento,PROC_REA,procedimento realizado,5,303170093,4214855,"SELECT ""PROC_REA"" AS value, COUNT(*) AS row_count FROM ""internacao_procedimento"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.358
internacao_procedimento,PROC_REA,procedimento realizado,6,303140046,3735530,"SELECT ""PROC_REA"" AS value, COUNT(*) AS row_count FROM ""internacao_procedimento"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.358
internacao_procedimento,PROC_REA,procedimento realizado,7,303010037,3723552,"SELECT ""PROC_REA"" AS value, COUNT(*) AS row_count FROM ""internacao_procedimento"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.358
internacao_procedimento,PROC_REA,procedimento realizado,8,303060212,3636826,"SELECT ""PROC_REA"" AS value, COUNT(*) AS row_count FROM ""internacao_procedimento"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.358
internacao_procedimento,PROC_REA,procedimento realizado,9,415010012,3353755,"SELECT ""PROC_REA"" AS value, COUNT(*) AS row_count FROM ""internacao_procedimento"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.358
internacao_procedimento,PROC_REA,procedimento realizado,10,303100044,3139159,"SELECT ""PROC_REA"" AS value, COUNT(*) AS row_count FROM ""internacao_procedimento"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.358
hospital,GESTAO,gestao hospitalar,1,2,3891,"SELECT ""GESTAO"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,GESTAO,gestao hospitalar,2,1,2982,"SELECT ""GESTAO"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,NATUREZA,natureza hospitalar,1,50,2130,"SELECT ""NATUREZA"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,NATUREZA,natureza hospitalar,2,61,1466,"SELECT ""NATUREZA"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,NATUREZA,natureza hospitalar,3,20,1150,"SELECT ""NATUREZA"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,NATUREZA,natureza hospitalar,4,00,904,"SELECT ""NATUREZA"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,NATUREZA,natureza hospitalar,5,40,658,"SELECT ""NATUREZA"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,NATUREZA,natureza hospitalar,6,60,402,"SELECT ""NATUREZA"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,NATUREZA,natureza hospitalar,7,22,99,"SELECT ""NATUREZA"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,NATUREZA,natureza hospitalar,8,30,62,"SELECT ""NATUREZA"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,NATUREZA,natureza hospitalar,9,80,2,"SELECT ""NATUREZA"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,MUNIC_MOV,municipio do estabelecimento,1,355030,134,"SELECT ""MUNIC_MOV"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,MUNIC_MOV,municipio do estabelecimento,2,330455,110,"SELECT ""MUNIC_MOV"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,MUNIC_MOV,municipio do estabelecimento,3,230440,85,"SELECT ""MUNIC_MOV"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,MUNIC_MOV,municipio do estabelecimento,4,292740,81,"SELECT ""MUNIC_MOV"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,MUNIC_MOV,municipio do estabelecimento,5,520870,63,"SELECT ""MUNIC_MOV"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,MUNIC_MOV,municipio do estabelecimento,6,261160,55,"SELECT ""MUNIC_MOV"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,MUNIC_MOV,municipio do estabelecimento,7,410690,51,"SELECT ""MUNIC_MOV"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,MUNIC_MOV,municipio do estabelecimento,8,211130,46,"SELECT ""MUNIC_MOV"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,MUNIC_MOV,municipio do estabelecimento,9,270430,41,"SELECT ""MUNIC_MOV"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
hospital,MUNIC_MOV,municipio do estabelecimento,10,310620,41,"SELECT ""MUNIC_MOV"" AS value, COUNT(*) AS row_count FROM ""hospital"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
municipios,SG_UF,UF,1,MG,853,"SELECT ""SG_UF"" AS value, COUNT(*) AS row_count FROM ""municipios"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
municipios,SG_UF,UF,2,SP,645,"SELECT ""SG_UF"" AS value, COUNT(*) AS row_count FROM ""municipios"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
municipios,SG_UF,UF,3,RS,497,"SELECT ""SG_UF"" AS value, COUNT(*) AS row_count FROM ""municipios"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
municipios,SG_UF,UF,4,BA,417,"SELECT ""SG_UF"" AS value, COUNT(*) AS row_count FROM ""municipios"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
municipios,SG_UF,UF,5,PR,399,"SELECT ""SG_UF"" AS value, COUNT(*) AS row_count FROM ""municipios"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
municipios,SG_UF,UF,6,SC,295,"SELECT ""SG_UF"" AS value, COUNT(*) AS row_count FROM ""municipios"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
municipios,SG_UF,UF,7,GO,246,"SELECT ""SG_UF"" AS value, COUNT(*) AS row_count FROM ""municipios"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
municipios,SG_UF,UF,8,PI,224,"SELECT ""SG_UF"" AS value, COUNT(*) AS row_count FROM ""municipios"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
municipios,SG_UF,UF,9,PB,223,"SELECT ""SG_UF"" AS value, COUNT(*) AS row_count FROM ""municipios"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
municipios,SG_UF,UF,10,MA,217,"SELECT ""SG_UF"" AS value, COUNT(*) AS row_count FROM ""municipios"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
socioeconomico,NU_ANO,ano socioeconomico,1,2012,5570,"SELECT ""NU_ANO"" AS value, COUNT(*) AS row_count FROM ""socioeconomico"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
socioeconomico,NU_ANO,ano socioeconomico,2,2013,5570,"SELECT ""NU_ANO"" AS value, COUNT(*) AS row_count FROM ""socioeconomico"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
socioeconomico,NU_ANO,ano socioeconomico,3,2014,5570,"SELECT ""NU_ANO"" AS value, COUNT(*) AS row_count FROM ""socioeconomico"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
socioeconomico,NU_ANO,ano socioeconomico,4,2015,5570,"SELECT ""NU_ANO"" AS value, COUNT(*) AS row_count FROM ""socioeconomico"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
socioeconomico,NU_ANO,ano socioeconomico,5,2016,5570,"SELECT ""NU_ANO"" AS value, COUNT(*) AS row_count FROM ""socioeconomico"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
socioeconomico,NU_ANO,ano socioeconomico,6,2017,5570,"SELECT ""NU_ANO"" AS value, COUNT(*) AS row_count FROM ""socioeconomico"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
socioeconomico,NU_ANO,ano socioeconomico,7,2018,5570,"SELECT ""NU_ANO"" AS value, COUNT(*) AS row_count FROM ""socioeconomico"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
socioeconomico,NU_ANO,ano socioeconomico,8,2019,5570,"SELECT ""NU_ANO"" AS value, COUNT(*) AS row_count FROM ""socioeconomico"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
socioeconomico,NU_ANO,ano socioeconomico,9,2020,5570,"SELECT ""NU_ANO"" AS value, COUNT(*) AS row_count FROM ""socioeconomico"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
socioeconomico,NU_ANO,ano socioeconomico,10,2021,5570,"SELECT ""NU_ANO"" AS value, COUNT(*) AS row_count FROM ""socioeconomico"" GROUP BY 1 ORDER BY row_count DESC, value LIMIT 10",0.001
